HOTEL,PRICE_RUPEES,NUMBER_OF_REVIEWS,Lat,Lng
SHAKUN HOTELS AND RESORTS JAIPUR,2921.49,285,26.910814,75.8019579
ROYAL HERITAGE HAVELI JAIPUR,8689.56,700,26.9252792,75.7457239
MILESTONE 251 JAIPUR,1123.65,259,26.9267165,75.7898049
HARI MAHAL PALACE JAIPUR,2172.39,255,26.9106698,75.789367
HOTEL PEARL PALACE JAIPUR,2546.94,2333,26.9162153,75.7956004
KRISHNA PALACE JAIPUR,749.1,658,26.9277706,75.786476
HOTEL YASH REGENCY JAIPUR,2022.57,115,26.9230839,75.7467762
NAHARGARH HAVELI JAIPUR,2022.57,2137,26.9146455,75.7925911
SOUVENIR PEPPERMINT HOTEL JAIPUR,7116.45,454,26.9400988,75.79529025
NARAIN NIWAS PALACE JAIPUR,5468.43,690,26.8982188,75.813938
HOTEL RANGOLI JAIPUR,898.92,14,26.9165043,75.8107679
"FOUR POINTS BY SHERATON JAIPUR, CITY SQUARE JAIPUR",2172.39,2633,26.8646857,75.7960927
HOTEL H R PALACE JAIPUR,898.92,481,26.9252909,75.7904205
CHOKHI DHANI RESORT JAIPUR,973.83,1144,26.7674854,75.8362399
SAJJAN NIWAS JAIPUR,1573.11,339,26.928346,75.792566
RAMADA BY WYNDHAM JAIPUR JAISINGHPURA JAIPUR,3895.32,970,26.8252613,75.6979265
FLUTE BOUTIQUE HOTEL JAIPUR,1797.84,312,26.9121913,75.7941699
HOTEL REEVE INN JAIPUR,749.1,20,26.925094,75.790595
5 BY OYO METROPOLITAN JAIPUR,4719.33,1857,26.9025631,75.7936779
INDANA PALACE JAIPUR,5543.34,600,27.0150554,75.8814214
REGENTA CENTRAL JAIPUR,1722.93,397,26.95061045,75.79615625
THE OBEROI RAJVILAS JAIPUR,20375.52,2000,26.8759401,75.8837593
THE TREE HOUSE RESORT JAIPUR,13933.26,972,27.0349303,75.8710011
CROWNE PLAZA JAIPUR TONK ROAD JAIPUR,3146.22,927,26.7793728,75.8280431
HOTEL CHITRAKATHA JAIPUR,898.92,469,26.9163549,75.7959152
SURYAA VILLA JAIPUR,2546.94,193,26.9006218,75.821393
ALSISAR HAVELI JAIPUR,3970.23,1334,26.9228227,75.8053469
THE WALL STREET BUSINESS HOTEL JAIPUR,1722.93,347,26.9176807,75.8116302
